Name,Category,Author,Price,Series,Pages,Publisher,Date,Language,ISBN_10,ISBN_13,Dimensions,Weight
Capital Starship (Ixan Legacy),Science Fiction : Space Opera,Scott Bartlett,$14.99,Ixan Legacy (Book 1),386 pages,Mirth Publishing,"December 3, 2017",English,1988380111,978-1988380117,5.5 x 0.9 x 8.5 inches,1.1 pounds
The Starhawk Chronicles (Volume 1),Science Fiction : Space Opera,Joseph J Madden,$13.99,The Starhawk Chronicles,238 pages,"Burning Willow Press, LLC","December 9, 2017",English,1947584111,978-1947584112,6 x 0.5 x 9 inches,14.9 ounces
The Mortalis: Beyond the Realm (The Mortalis Series) (Volume 4),Science Fiction : Space Opera,Larry W. Cockerham,$9.95,The Mortalis Series (Book 4),206 pages,CreateSpace Independent Publishing Platform,"December 14, 2017",English,1973784785,978-1973784784,5.5 x 0.5 x 8.5 inches,11.5 ounces
Silent Order: Wasp Hand (Volume 6),Science Fiction : Space Opera,Jonathan Moeller,$10.99,Silent Order (Book 6),170 pages,CreateSpace Independent Publishing Platform,"December 7, 2017",English,1981926089,978-1981926084,6 x 0.4 x 9 inches,11 ounces
Pew! Pew! Volume 4: Bad versus Worse,Science Fiction : Space Opera,M. D. Cooper and S.E. Anderson,$22.99,,610 pages,CreateSpace Independent Publishing Platform,"December 14, 2017",English,1981995870,978-1981995875,5.2 x 1.5 x 8 inches,1.8 pounds
The Woman Who Seized an Empire (The Warlord) (Volume 2),Science Fiction : Space Opera,M. D. Cooper,$12.99,The Warlord (Book 2),330 pages,CreateSpace Independent Publishing Platform,"December 7, 2017",English,1981996451,978-1981996452,5.2 x 0.8 x 8 inches,15.8 ounces
Europa Nightmare (Jupiter Saga),Science Fiction : Space Opera,Wayne Faust and Charles Eugene Anderson,$19.99,Jupiter Saga (Book 1),322 pages,Charles Anderson Books,"December 21, 2017",English,0974161950,978-0974161952,6 x 0.7 x 9 inches,1 pounds
World's End: An Epic Novel of the Snow Queen Cycle,Science Fiction : Space Opera,Joan D. Vinge,$14.03,Snow Queen (Book 2),256 pages,Tor Books; Reprint edition,"December 26, 2017",English,0765381788,978-0765381781,5.5 x 0.7 x 8.3 inches,7.8 ounces
Ruler of Galaxies (Neon Octopus Overlord Series) (Volume 3),Science Fiction : Space Opera,L.A. Johnson,$7.99,Neon Octopus Overlord Series,182 pages,"Chemical Zombie Press, LLC","December 12, 2017",English,0999140035,978-0999140031,5.5 x 0.4 x 8.5 inches,10.4 ounces
"The Axalan Revelation (The Starguards - Of Humans, Heroes, and Demigods) (Volume 2)",Science Fiction : Space Opera,Raymond Burke,$12.99,"The Starguards - Of Humans, Heroes, and Demigods (Book 2)",276 pages,Nielsen; 1 edition,"December 13, 2017",English,0992890640,978-0992890643,6 x 0.7 x 9 inches,1.1 pounds
Operation Medusa (Castle Federation) (Volume 6),Science Fiction : Space Opera,Glynn Stewart,$13.99,Castle Federation,338 pages,Faolan's Pen Publishing Inc.,"December 11, 2017",English,1988035317,978-1988035314,6 x 0.8 x 9 inches,1.3 pounds
Pax Magellanica: Reichworld,Science Fiction : Space Opera,Michael Lingaard,$40.47,,1030.0 pages,"Strategic Book Publishing & Rights Agency, LLC","December 1, 2017",English,1946540897,978-1946540898,6 x 2.3 x 9 inches,3 pounds
Beyond the Sentinel Stars (Nearspace),Science Fiction : Space Opera,Sherry D. Ramsey,$14.95,Nearspace (Book 3),392 pages,Tyche Books Ltd.,"December 19, 2017",English,1928025781,978-1928025788,5.5 x 0.9 x 8.5 inches,1 pounds
The Heart Ship Saga: The Guiding Light (Volume 2),Science Fiction : Space Opera,Mr Neil A Underhill,$15.99,The Heart Ship Saga (Book 2),444 pages,CreateSpace Independent Publishing Platform,"December 1, 2017",English,1981300546,978-1981300549,6 x 1 x 9 inches,1.6 pounds
Transport 3: The Zone (Volume 3),Science Fiction : Space Opera,Phillip P. Peterson,$11.99,Transport,284 pages,CreateSpace Independent Publishing Platform,"December 15, 2017",English,1981733353,978-1981733354,5 x 0.7 x 8 inches,13.3 ounces
SODIUM Defiance,Science Fiction : Space Opera,Stephen Arseneault,$8.99,,190 pages,CreateSpace Independent Publishing Platform; 1st edition,"December 28, 2017",English,1982098783,978-1982098780,5.5 x 0.5 x 8.5 inches,10.7 ounces
Requiem: Aurora Resonant Book Three (Volume 3),Science Fiction : Space Opera,G. S. Jennsen,$12.82,Aurora Resonant (Book 9),462 pages,Hypernova Publishing; 1 edition,"December 10, 2017",English,0998424560,978-0998424569,5.2 x 1.2 x 8 inches,1.2 pounds
Arrival (Exodus),Science Fiction : Space Opera,Gun Brooke,$16.95,Exodus (Book 4),242 pages,Bold Strokes Books,"December 12, 2017",English,1626398593,978-1626398597,5.5 x 0.6 x 8.4 inches,10.1 ounces
Birth Of A Goddess (Descendants Series) (Volume 4),Science Fiction : Space Opera,Mark T Bacome,$19.99,Descendants Series (Book 4),538 pages,CreateSpace Independent Publishing Platform,"December 15, 2017",English,154684418X,978-1546844181,6 x 1.3 x 9 inches,2 pounds
The Final Stroll on Perseus's Arm (Perseus Gate) (Volume 6),Science Fiction : Space Opera,M. D. Cooper,$7.99,Perseus Gate,190 pages,CreateSpace Independent Publishing Platform,"December 14, 2017",English,1981998993,978-1981998999,5.2 x 0.5 x 8 inches,9.9 ounces
The Recognition Rejection: Recognition Book 2,Science Fiction : Space Opera,Henry Vogel,$12.99,Recognition (Book 2),256.0 pages,Rampant Loon Media LLC,"December 1, 2017",English,1938834976,978-1938834974,5.5 x 0.6 x 8.5 inches,11.5 ounces
Echoes from Yesterday (Pirates of the Badlands) (Volume 4),Science Fiction : Space Opera,Sean Benjamin,$18.68,Pirates of the Badlands (Book 4),552 pages,CreateSpace Independent Publishing Platform; 1 edition,"December 14, 2017",English,1981435735,978-1981435739,5 x 1.2 x 8 inches,1.5 pounds
2: Sojourn: Death in the City of Angels: Volume II (Volume 2),Science Fiction : Space Opera,Fidus Jungsturm,$19.95,Sojourn,222 pages,CreateSpace Independent Publishing Platform,"December 6, 2017",English,1981462864,978-1981462865,8.5 x 0.5 x 11 inches,1.4 pounds
Shadows of Angels (Sins of Angels),Science Fiction : Space Opera,Matt Larkin and J.S. Morin,$16.99,Sins of Angels (Book 2),180 pages,Magical Scrivener Press,"November 10, 2017",English,1942642482,978-1942642480,5.5 x 0.4 x 8.5 inches,10.2 ounces
Jain Zar: Storm of Silence (Phoenix Lords),Science Fiction : Space Opera,Gav Thorpe,$11.00,Phoenix Lords (Book 2),352 pages,Games Workshop,"November 14, 2017",English,1784966126,978-1784966126,5.1 x 1 x 7.8 inches,8.3 ounces
Deathwatch: The Omnibus,Science Fiction : Space Opera,Steve Parker and Justin D Hill,$13.98,Deathwatch,960 pages,Games Workshop; Reprint edition,"November 28, 2017",English,1784966223,978-1784966225,5.1 x 2.3 x 7.8 inches,1.5 pounds
Sternenreich (German Edition),Science Fiction : Space Opera,Andreas Kohn,$31.50,,414.0 pages,Books on Demand,"November 5, 2017",German,3746011833,978-3746011837,5 x 0.9 x 8 inches,14.1 ounces
From the Shadows,Science Fiction : Space Opera,E L Bates,$9.99,,254 pages,StarDance Press; 2 edition,"November 17, 2017",English,0989955141,978-0989955140,5.2 x 0.6 x 8 inches,12.6 ounces
Shorts Stories of Aurora Rhapsody: The Complete Collection,Science Fiction : Space Opera,G. S. Jennsen,$8.99,,224 pages,Hypernova Publishing; 1 edition,"November 28, 2017",English,0998424587,978-0998424583,5.2 x 0.6 x 8 inches,11.4 ounces
