ID,Name,Category,Author,Price,Series,Pages,Publisher,Date,Language,ISBN_10,ISBN_13,Dimensions,Weight
1709,The Complete Exodus Trilogy,Science Fiction - Space Opera,Andreas Christensen,$24.99,,544.0,Createspace Independent Publishing Platform,March 2016,,1523708166,9781523708161,9 x 6 x 1.21 inches,1.74 pounds
1710,Ad Astra  :  Wonderboy & Stargirl,Science Fiction - Space Opera,MR Giovanni Mallia,$10.63,,228.0,Createspace Independent Publishing Platform,March 2016,,1523718005,9781523718009,8.5 x 5.51 x 0.52 inches,0.65 pounds
1711,Horizon,Science Fiction - Space Opera,Matthew M. Pyke,$13.70,,388.0,Createspace Independent Publishing Platform,March 2016,,1517502438,9781517502430,8.5 x 5.51 x 0.86 inches,1.08 pounds
1712,Across the Zodiac  :  The Story of a Wrecked Record,Science Fiction - Space Opera,Percy Greg,$24.99,,710.0,Createspace Independent Publishing Platform,March 2016,,1530480264,9781530480265,9 x 6 x 1.42 inches,2.06 pounds
1713,Gulliver of Mars,Science Fiction - Space Opera,Edwin L. Arnold,$12.99,,314.0,Createspace Independent Publishing Platform,March 2016,,1530548543,9781530548545,9 x 6 x 0.66 inches,0.93 pounds
1714,A Year and a Day  :  - The Handfasting Book 1,Science Fiction - Space Opera,Gail Daley,$12.95,,258.0,Createspace Independent Publishing Platform,March 2016,,1530614082,9781530614080,9.02 x 5.98 x 0.54 inches,0.77 pounds
1715,Pq Columbo Travels Across Our Galaxy  :  Books 1-7,Science Fiction - Space Opera,B. L,$22.95,,62.0,Createspace Independent Publishing Platform,March 2016,,153064402X,9781530644025,8.5 x 5.5 x 0.16 inches,0.24 pounds
1716,"""The Laws of Privilege. Book One. Privilege.  :  In a Rapidly Expanding Empire Where Longevity Was the Norm Through Gene Manipulation, Cloned Body and Org""",Science Fiction - Space Opera,MS Ellen Dudley and MR Thomas J. Edison and MS Gretchen W. Steen,$9.45,,178.0,Createspace Independent Publishing Platform,March 2016,,1530753457,9781530753451,9 x 6 x 0.38 inches,0.54 pounds
1717,The First Men in the Moon,Science Fiction - Space Opera,H. G. Wells,$10.38,,192.0,Createspace Independent Publishing Platform,March 2016,,1530758211,9781530758210,9 x 6 x 0.41 inches,0.58 pounds
1718,Acid Bath,Science Fiction - Space Opera,Vaseleos Garson,$9.99,,30.0,Createspace Independent Publishing Platform,March 2016,,1530317207,9781530317202,11 x 8.5 x 0.06 inches,0.21 pounds
1719,The Pirates of Ersatz,Science Fiction - Space Opera,Murray Leinster,$5.99,,124.0,Createspace Independent Publishing Platform,March 2016,,153034039X,9781530340392,9 x 6 x 0.26 inches,0.39 pounds
