Name,Category,Author,Price,Series,Pages,Publisher,Date,Language,ISBN-10,ISBN-13,Dimensions,Weight
The Million,Science Fiction : Space Opera,Karl Schroeder,$14.99,,192 pages,Tor.com,August 14# 2018,English,1250185424,978-1250185426,5 x 8 inches,1.1 pounds
Exile's Throne: The Empress Game Trilogy 3,Science Fiction : Space Opera,Rhonda Mason,$14.95,Empress Game Trilogy (Book 3),352 pages,Titan Books,August 14# 2018,English,1783299452,978-1783299454,,13 ounces
Noumenon Infinity,Science Fiction : Space Opera,Marina J. Lostetter,$16.99,Noumenon,496 pages,Harper Voyager,August 14# 2018,English,0062497863,978-0062497864,5.3 x 8 inches,10.4 ounces
The Burden of Loyalty (The Horus Heresy),Science Fiction : Space Opera,Laurie Goulding,$18.00,The Horus Heresy (Book 48),432 pages,Games Workshop,August 7# 2018,English,1784967521,978-1784967529,6 x 9.2 inches,1.1 pounds
Lukas the Trickster,Science Fiction : Space Opera,Josh Reynolds,$16.00,Lukas the Trickster (Book 1),344 pages,Games Workshop,August 7# 2018,English,1784967564,978-1784967567,5.1 x 7.8 inches,1.1 pounds
War for Armageddon: The Omnibus (Warhammer 40000),Science Fiction : Space Opera,Various,$21.00,Warhammer 40000,880 pages,Games Workshop,August 7# 2018,English,1784967556,978-1784967550,5.1 x 7.8 inches,1.1 pounds
Knightsblade (Imperial Knights),Science Fiction : Space Opera,Andy Clark,$16.00,Imperial Knights (Book 2),400 pages,Games Workshop,August 7# 2018,English,1784967548,978-1784967543,5.1 x 7.8 inches,1.1 pounds
The Outposter,Science Fiction : Space Opera,Gordon R. Dickson,$16.00,,336 pages,Baen; Reissue edition,August 7# 2018,English,1481483285,978-1481483285,,1.1 pounds
The Gathering Edge (Liaden Universe),Science Fiction : Space Opera,Sharon Lee and Steve Miller,$7.99,Liaden Universe (Book 20),496 pages,Baen,July 31# 2018,English,1481483358,978-1481483353,,1.1 pounds
The Killing of Worlds: Book Two of Succession,Science Fiction : Space Opera,Scott Westerfeld,$7.99,Succession (Book 2),336 pages,Tor Science Fiction,July 31# 2018,English,1250165520,978-1250165527,4.1 x 1.2 x 6.8 inches,1.1 pounds
Record of a Spaceborn Few (Wayfarers),Science Fiction : Space Opera,Becky Chambers,$16.99,Wayfarers (Book 3),400 pages,Harper Voyager,July 24# 2018,English,0062699229,978-0062699220,5.3 x 0.9 x 8 inches,10.4 ounces
Sons of the Hydra (Alpha Legion),Science Fiction : Space Opera,Rob Sanders,$12.96,Alpha Legion,352 pages,Games Workshop,July 24# 2018,English,1784967319,978-1784967314,5.1 x 7.8 inches,1.1 pounds
Castellan (Castellan Crowe),Science Fiction : Space Opera,David Annandale,$11.96,Castellan Crowe (Book 2),336 pages,Games Workshop,July 24# 2018,English,1784967300,978-1784967307,5.1 x 7.8 inches,1.1 pounds
Ghosts of Antares (Beyond Antares),Science Fiction : Space Opera,Mike Lee,$18.00,Beyond Antares,325 pages,Zmok Books,July 24# 2018,English,1945430125,978-1945430121,6 x 9 inches,1.1 pounds
Enforcer: The Shira Calpurnia Omnibus,Science Fiction : Space Opera,Matthew Farrer,$21.00,Shira Calpurnia,816 pages,Games Workshop,July 24# 2018,English,1784967327,978-1784967321,5.1 x 7.8 inches,1.1 pounds
Ghosts of War: Retribution,Science Fiction : Space Opera,Paul Robinson,$14.99,,,Quill,July 17# 2018,English,1947848909,978-1947848900,,1.1 pounds
Provenance,Science Fiction : Space Opera,Ann Leckie,$13.85,,448 pages,Orbit; Reprint edition,July 10# 2018,English,0316388653,978-0316388658,1.1 x 1.1 inches,1.1 pounds
Wolf King (Black Library Summer Reading),Science Fiction : Space Opera,Chris Wraight,$5.00,Black Library Summer Reading (Book 4),128 pages,Games Workshop,July 10# 2018,English,1784967491,978-1784967499,5.1 x 7.8 inches,1.1 pounds
Sin of Damnation (Black Library Summer Reading),Science Fiction : Space Opera,Gav Thorpe,$5.00,Black Library Summer Reading (Book 3),128 pages,Games Workshop,July 10# 2018,English,1784967483,978-1784967482,5.1 x 7.8 inches,1.1 pounds
Black Legion,Science Fiction : Space Opera,Aaron Dembski-Bowden,$16.00,Black Legion (Book 2),368 pages,Games Workshop; Reprint edition,July 10# 2018,English,178496753X,978-1784967536,5.1 x 7.8 inches,1.1 pounds
Condomnauts,Science Fiction : Space Opera,Yoss and David Frye,$11.56,,176 pages,Restless Books; Not for Online ed. edition,July 10# 2018,English,1632061864,978-1632061867,5.5 x 8.2 inches,1.1 pounds
Crusade (Black Library Summer Reading),Science Fiction : Space Opera,Andy Clark,$5.00,Black Library Summer Reading (Book 1),128 pages,Games Workshop,July 10# 2018,English,1784967467,978-1784967468,5.1 x 7.8 inches,1.1 pounds
Resurrection (The Horusian Wars),Science Fiction : Space Opera,John French,$16.00,The Horusian Wars (Book 1),368 pages,Games Workshop; Reprint edition,July 10# 2018,English,1784967289,978-1784967284,5.1 x 7.8 inches,1.1 pounds
Assault on Black Reach (Black Library Summer Reading),Science Fiction : Space Opera,Nick Kyme,$5.00,Black Library Summer Reading (Book 2),128 pages,Games Workshop,July 10# 2018,English,1784967475,978-1784967475,5.1 x 7.8 inches,1.1 pounds
Southern Cross Volume 3,Science Fiction : Space Opera,Becky Cloonan and Andy Belanger,$16.99,Southern Cross (Book 3),160 pages,Image Comics,July 3# 2018,English,1534304851,978-1534304857,,1.1 pounds
Space Unicorn Blues,Science Fiction : Space Opera,TJ Berry,$12.99,,400 pages,Angry Robot,July 3# 2018,English,0857667815,978-0857667816,,13 ounces
The Hidden World (Imperials #3),Science Fiction : Space Opera,Melinda Snodgrass,$14.95,Imperials (Book 3),356 pages,Titan Books,July 3# 2018,English,1783295864,978-1783295869,5.9 x 0.9 x 8.3 inches,13 ounces
The Cityborn,Science Fiction : Space Opera,Edward Willett,$7.99,,432 pages,DAW,July 3# 2018,English,0756411785,978-0756411787,4.2 x 1.1 x 6.8 inches,7.4 ounces
Mass Effect: Annihilation,Science Fiction : Space Opera,Catherynne M. Valente,$7.99,,336 pages,Titan Books; Media Tie In edition,June 26# 2018,English,1785651587,978-1785651588,,6.1 ounces
War of Secrets (Space Marine Conquests),Science Fiction : Space Opera,Phil Kelly,$16.00,Space Marine Conquests (Book 3),416 pages,Games Workshop,June 26# 2018,English,1784967092,978-1784967093,5.1 x 7.8 inches,1.1 pounds
A Big Ship at the Edge of the Universe (The Salvagers),Science Fiction : Space Opera,Alex White,$15.99,The Salvagers (Book 1),480 pages,Orbit,June 26# 2018,English,0316412066,978-0316412063,,1.1 pounds
Yarrick: The Omnibus,Science Fiction : Space Opera,David Annandale,$21.00,Yarrick,816 pages,Games Workshop; Reprint edition,June 26# 2018,English,1784967106,978-1784967109,5.1 x 7.8 inches,1.1 pounds
The Master of Mankind (The Horus Heresy),Science Fiction : Space Opera,Aaron Dembski-Bowden,$9.99,The Horus Heresy (Book 41),448 pages,Games Workshop,June 26# 2018,English,1784967114,978-1784967116,4.2 x 6.7 inches,1.1 pounds
The Gods of Sagittarius,Science Fiction : Space Opera,Eric Flint and Mike Resnick,$7.99,,448 pages,Baen,June 26# 2018,English,1481483390,978-1481483391,,1.1 pounds
The Risen Empire: Book One of the Succession,Science Fiction : Space Opera,Scott Westerfeld,$7.99,Succession (Book 1),304 pages,Tor Science Fiction,June 26# 2018,English,1250165504,978-1250165503,4.1 x 1.1 x 6.8 inches,1.1 pounds
Reverse Abduction (Alien Abduction),Science Fiction : Space Opera,Eve Langlais,$9.99,Alien Abduction (Book 8),152 pages,Eve Langlais,June 19# 2018,English,1988328896,978-1988328898,5 x 0.4 x 8 inches,6.1 ounces
Beyond the Gates of Antares: Markov's Prize (Beyond Antares),Science Fiction : Space Opera,Mark Barber,$18.00,Beyond Antares,300 pages,Zmok Books,June 19# 2018,English,194543029X,978-1945430299,,1.1 pounds
Hybrid Child: A Novel (Parallel Futures),Science Fiction : Space Opera,Mariko Ohara and Jodie Beck,,Parallel Futures,304 pages,Univ Of Minnesota Press; 1 edition,June 15# 2018,English,1517904900,978-1517904906,5.5 x 1.5 x 8.5 inches,1.1 pounds
Old Earth (The Horus Heresy),Science Fiction : Space Opera,Nick Kyme,$12.38,The Horus Heresy (Book 47),400 pages,Games Workshop,June 12# 2018,English,1784967122,978-1784967123,6 x 1.2 x 9.2 inches,1.2 pounds
Revenant Gun: N/A (Machineries of Empire),Science Fiction : Space Opera,Yoon Ha Lee,$9.99,Machineries of Empire (Book 3),400 pages,Solaris,June 12# 2018,English,1781086079,978-1781086070,5.5 x 7.8 inches,1.1 pounds
The Freeze-Frame Revolution,Science Fiction : Space Opera,Peter Watts,$14.95,,192 pages,Tachyon Publications,June 12# 2018,English,1616962526,978-1616962524,5 x 8 inches,1.1 pounds
Clonelord (Fabius Bile),Science Fiction : Space Opera,Josh Reynolds,$16.00,Fabius Bile (Book 2),432 pages,Games Workshop,June 12# 2018,English,1784967076,978-1784967079,5.1 x 1.2 x 7.8 inches,12 ounces
Star Trek: Discovery: Fear Itself,Science Fiction : Space Opera,James Swallow,$13.52,Star Trek: Discovery (Book 3),304 pages,Pocket Books/Star Trek,June 5# 2018,English,150116659X,978-1501166594,5.3 x 8.2 inches,1.1 pounds
The Year's Best Military and Adventure SF# Volume 4 (Year's Best Military & Adventure Science),Science Fiction : Space Opera,David Afsharirad,$16.00,Year's Best Military & Adventure Science (Book 4),336 pages,Baen,June 5# 2018,English,1481483323,978-1481483322,6.1 x 9.2 inches,1.1 pounds
A Peace Divided (Peacekeeper),Science Fiction : Space Opera,Tanya Huff,$7.99,Peacekeeper (Book 2),416 pages,DAW,June 5# 2018,English,0756411513,978-0756411510,4.2 x 1 x 6.8 inches,7.2 ounces
Aurora,Science Fiction : Space Opera,Kim Stanley Robinson,$11.66,,512 pages,Orbit; Reprint edition,June 5# 2018,English,0316526991,978-0316526999,,1.1 pounds
Free Chocolate,Science Fiction : Space Opera,Amber Royer,$12.99,,400 pages,Angry Robot,June 5# 2018,English,0857667505,978-0857667502,,6.1 ounces
Void Trip,Science Fiction : Space Opera,Ryan O'Sullivan and Plaid Klaus,$16.99,Void Trip,144 pages,Image Comics,June 5# 2018,English,1534306684,978-1534306684,,1.1 pounds
2312,Science Fiction : Space Opera,Kim Stanley Robinson,$16.99,,608 pages,Orbit; Reprint edition,June 5# 2018,English,0316526983,978-0316526982,,1.1 pounds
Brothers in Arms (Vorkosigan Saga),Science Fiction : Space Opera,Lois McMaster Bujold,$16.00,Vorkosigan Saga (Book 9),272 pages,Baen; Reprint edition,June 5# 2018,English,1481483315,978-1481483315,6.1 x 0.8 x 9.2 inches,1.1 pounds
Blue Shift: A thrilling alien space adventure with an unforgettable new heroine (Second Species Trilogy),Science Fiction : Space Opera,Jane O'Reilly,$13.99,Second Species Trilogy,336 pages,Piatkus,June 5# 2018,English,0349416583,978-0349416588,7.7 x 0.8 x 4.9 inches,8.3 ounces
Canto Bight (Star Wars),Science Fiction : Space Opera,Saladin Ahmed and Rae Carson,$9.99,Star Wars,400 pages,Del Rey,May 29# 2018,English,0525478760,978-0525478768,4.2 x 0.9 x 7.5 inches,7.7 ounces
The Last Hunt (White Scars),Science Fiction : Space Opera,Robbie MacNiven,$11.00,White Scars,432 pages,Games Workshop,May 29# 2018,English,1784966924,978-1784966928,5.1 x 1.1 x 7.8 inches,10.9 ounces
Nightflyers & Other Stories,Science Fiction : Space Opera,George R. R. Martin,$9.99,,384 pages,Tor Science Fiction,May 29# 2018,English,125030234X,978-1250302342,4.1 x 0.9 x 7.5 inches,1.1 pounds
The Carrion Throne (Vaults of Terra),Science Fiction : Space Opera,Chris Wraight,$16.00,Vaults of Terra (Book 1),384 pages,Games Workshop; Reprint edition,May 29# 2018,English,1784966916,978-1784966911,5.1 x 1 x 7.8 inches,9.6 ounces
Blood Enemies (Under Jurisdiction),Science Fiction : Space Opera,Susan R. Matthews,$7.99,Under Jurisdiction (Book 7),336 pages,Baen,May 29# 2018,English,148148334X,978-1481483346,,1.1 pounds
Venus (The Grand Tour),Science Fiction : Space Opera,Ben Bova,$8.99,The Grand Tour,416 pages,Tor Science Fiction,May 29# 2018,English,1250186684,978-1250186683,4.1 x 1.1 x 6.8 inches,1.1 pounds
Red Claw,Science Fiction : Space Opera,Philip Palmer,$7.99,,560 pages,Orbit,May 29# 2018,English,0316068101,978-0316068109,,1.1 pounds
The Genesis Fleet - Ascendant,Science Fiction : Space Opera,Jack Campbell,$8.17,The Genesis Fleet,,Titan Books Ltd,May 25# 2018,English,1785650424,978-1785650420,5.9 x 0.9 x 8.3 inches,1.1 pounds
Ghost Warrior (Rise of the Ynnari),Science Fiction : Space Opera,Gav Thorpe,$16.00,Rise of the Ynnari (Book 1),368 pages,Games Workshop,May 15# 2018,English,1784966754,978-1784966751,5.1 x 0.9 x 7.8 inches,9.3 ounces
Salamanders: The Omnibus,Science Fiction : Space Opera,Nick Kyme,$21.00,Salamanders,960 pages,Games Workshop,May 15# 2018,English,1784966908,978-1784966904,5.1 x 2.4 x 7.8 inches,1.4 pounds
Odysseus Ascendant (Odyssey One),Science Fiction : Space Opera,Evan Currie,$10.99,Odyssey One (Book 7),304 pages,47North,May 8# 2018,English,1503901076,978-1503901070,5.5 x 1 x 8.2 inches,15.8 ounces
Extremity Volume 2: Warrior,Science Fiction : Space Opera,Daniel Warren Johnson,$16.99,Extremity,144 pages,Image Comics,May 8# 2018,English,1534306498,978-1534306493,,1.1 pounds
Afterwar,Science Fiction : Space Opera,Lilith Saintcrow,$15.99,,416 pages,Orbit,May 8# 2018,English,0316558249,978-0316558242,,1.1 pounds
Oblivion (Starfire),Science Fiction : Space Opera,Steve White and Charles E. Gannon,$14.62,Starfire (Book 8),336 pages,Baen,May 1# 2018,English,1481483250,978-1481483254,6.1 x 9.2 inches,1.1 pounds
Dragon Road (Drifting Lands),Science Fiction : Space Opera,Joseph Brassey,$8.99,Drifting Lands,448 pages,Angry Robot,May 1# 2018,English,0857666797,978-0857666796,4.2 x 1.1 x 6.9 inches,7.8 ounces
Infinite Stars,Science Fiction : Space Opera,David Weber and Brian Herbert,$19.95,,400 pages,Titan Books; Reprint edition,May 1# 2018,English,1785654586,978-1785654589,,13 ounces
Pawn: A Chronicle of the Sibyl's War,Science Fiction : Space Opera,Timothy Zahn,$8.99,Sibyl's War (Book 1),384 pages,Tor Science Fiction,May 1# 2018,English,0765367734,978-0765367730,4.1 x 0.9 x 6.8 inches,1 pounds
Ring of Swords,Science Fiction : Space Opera,Eleanor Arnason,$20.00,,350 pages,Aqueduct Press; Reprint edition,May 1# 2018,English,1619761408,978-1619761407,6 x 1 x 8.4 inches,1.2 pounds
Avengers of the Moon: A Captain Future Novel,Science Fiction : Space Opera,Allen Steele,$16.99,Captain Future,304 pages,Tor Books; Reprint edition,May 1# 2018,English,0765382199,978-0765382191,,1.1 pounds
The Traveler's Cup,Science Fiction : Space Opera,AC Baldwin,$13.99,,,Quill,May 1# 2018,English,1947848232,978-1947848238,5.5 x 8.2 inches,1.1 pounds
Phasma (Star Wars): Journey to Star Wars: The Last Jedi,Science Fiction : Space Opera,Delilah S. Dawson,$9.99,Star Wars,480 pages,Del Rey; Reprint edition,April 24# 2018,English,1524796336,978-1524796334,4.2 x 1 x 7.5 inches,9.1 ounces
Corax (The Horus Heresy),Science Fiction : Space Opera,Gav Thorpe,$9.99,The Horus Heresy (Book 40),464 pages,Games Workshop,April 24# 2018,English,1784966762,978-1784966768,4.2 x 1.1 x 6.7 inches,8.8 ounces
Cold Planet (Gateway Universe),Science Fiction : Space Opera,Brian Dorsey,$7.77,Gateway Universe,290 pages,Mountaineer West Productions,April 20# 2018,English,0692067736,978-0692067734,4.2 x 0.6 x 7 inches,8.3 ounces
Legend of the Galactic Heroes# Vol. 6: Flight,Science Fiction : Space Opera,Yoshiki Tanaka and Tyran Grillo,$15.99,Legend of the Galactic Heroes (Book 6),224 pages,Haikasoru,April 17# 2018,English,1421584999,978-1421584997,5.2 x 0.6 x 8 inches,7.5 ounces
The Lost: A Gaunt's Ghosts Omnibus,Science Fiction : Space Opera,Dan Abnett,$21.00,Gaunt's Ghosts,944 pages,Games Workshop,April 17# 2018,English,1784966746,978-1784966744,5.1 x 2.2 x 7.8 inches,1.4 pounds
Warframe Volume 1,Science Fiction : Space Opera,Matt Hawkins and Ryan Cady,$19.99,Warframe (Book 1),144 pages,Image Comics,April 17# 2018,English,1534305122,978-1534305120,,1.1 pounds
Space Drifters: The Ghost Ship,Science Fiction : Space Opera,Paul Regnier,$15.99,Space Drifters (Book 3),304 pages,Enclave,April 10# 2018,English,1683700821,978-1683700821,,1.1 pounds
The Viridian Convict (Blue Dominion),Science Fiction : Space Opera,Sam York,$14.99,Blue Dominion,248 pages,North Star Editions,April 10# 2018,English,1635839041,978-1635839043,5 x 8 inches,1.1 pounds
Ruinstorm (The Horus Heresy),Science Fiction : Space Opera,David Annandale,$18.00,The Horus Heresy (Book 46),384 pages,Games Workshop; Reprint edition,April 3# 2018,English,178496672X,978-1784966720,6 x 0.9 x 9.2 inches,14.7 ounces
