_id,ltable_ID,rtable_ID,ltable_Name,ltable_Category,ltable_Author,ltable_Price,ltable_Series,ltable_Pages,ltable_Publisher,ltable_Date,ltable_Language,ltable_ISBN_10,ltable_ISBN_13,ltable_Dimensions,ltable_Weight,rtable_Name,rtable_Category,rtable_Author,rtable_Price,rtable_Series,rtable_Pages,rtable_Publisher,rtable_Date,rtable_Language,rtable_ISBN_10,rtable_ISBN_13,rtable_Dimensions,rtable_Weight
52,604,5436,Jupiter Slingshot,Science Fiction : Space Opera,Ronnie G. Anderson,$13.95,,264 pages,CreateSpace Independent Publishing Platform,"""December 30, 2017""",English,1983429198,978-1983429194,6 x 0.6 x 9 inches,1 pounds,Sweet Darkness,Fantasy - Dark Fantasy,Ronnie G. Anderson,$15.95,,332.0,Createspace Independent Publishing Platform,August 2016,,1537037110,9781537037110,9 x 6 x 0.69 inches,0.98 pounds
53,604,5202,Jupiter Slingshot,Science Fiction : Space Opera,Ronnie G. Anderson,$13.95,,264 pages,CreateSpace Independent Publishing Platform,"""December 30, 2017""",English,1983429198,978-1983429194,6 x 0.6 x 9 inches,1 pounds,Holy Dragonslayer,Fantasy - Dark Fantasy,Ronnie G. Anderson,$26.95,,730.0,Createspace Independent Publishing Platform,November 2016,,1539953572,9781539953579,9 x 6 x 1.46 inches,2.11 pounds
54,604,5191,Jupiter Slingshot,Science Fiction : Space Opera,Ronnie G. Anderson,$13.95,,264 pages,CreateSpace Independent Publishing Platform,"""December 30, 2017""",English,1983429198,978-1983429194,6 x 0.6 x 9 inches,1 pounds,Holy Dragonlady,Fantasy - Dark Fantasy,Ronnie G. Anderson,$27.95,,732.0,Createspace Independent Publishing Platform,November 2016,,1539953785,9781539953784,9 x 6 x 1.46 inches,2.12 pounds
55,591,429,STAR GATE 171-172: Alarm auf Terra: Die Zukunft der Erde  und Angriff der Riesenlibellen! (STAR GATE  das Original) (German Edition),Science Fiction : Space Opera,Wilfried A. Hary and Werner K. Giesa,$8.95,STAR GATE - das Original,112 pages,CreateSpace Independent Publishing Platform,"""January 2, 2018""",German,1983461989,978-1983461989,5.2 x 0.3 x 8 inches,1.8 ounces,"Star Gate - Das Original 169-170  :  Jenseits Der Welten: ""Die Zukunft Der Erde - Und Angriff Der Riesenlibellen!",Science Fiction - Space Opera,Wilfried a. Hary and Werner K. Giesa,$8.95,,110.0,Createspace Independent Publishing Platform,November 2017,,1979922845,9781979922845,8 x 5.25 x 0.23 inches,0.27 pounds
56,591,368,STAR GATE 171-172: Alarm auf Terra: Die Zukunft der Erde  und Angriff der Riesenlibellen! (STAR GATE  das Original) (German Edition),Science Fiction : Space Opera,Wilfried A. Hary and Werner K. Giesa,$8.95,STAR GATE - das Original,112 pages,CreateSpace Independent Publishing Platform,"""January 2, 2018""",German,1983461989,978-1983461989,5.2 x 0.3 x 8 inches,1.8 ounces,"Star Gate 169-170  :  Jenseits Der Welten: ""Die Zukunft Der Erde - Und Angriff Der Riesenlibellen!""",Science Fiction - Space Opera,Wilfried a. Hary and Werner K. Giesa,$8.95,,110.0,Createspace Independent Publishing Platform,November 2017,,1979982090,9781979982092,8 x 5.25 x 0.23 inches,0.27 pounds
57,2155,7184,Waiting for Halloween,Fantasy : Dark,Ronnie G. Anderson,$11.95,,224 pages,CreateSpace Independent Publishing Platform,"""October 12, 2017""",English,1978189125,978-1978189126,6 x 0.5 x 9 inches,14.1 ounces,Reality Bites,Fantasy - Dark Fantasy,Ronnie G. Anderson,$12.95,,244.0,Createspace Independent Publishing Platform,July 2014,,1500610011,9781500610012,9 x 6 x 0.51 inches,0.73 pounds
58,900,424,STAR GATE 045-046: Die rote Sonne: und Die goldenen pfel der Hesperiden (STAR GATE - das Original) (Volume 45) (German Edition),Science Fiction : Space Opera,Wilfried A. Hary and W. Berner,$8.99,STAR GATE - das Original (Book 45),138 pages,CreateSpace Independent Publishing Platform,"""November 2, 2017""",German,1979368961,978-1979368964,5.2 x 0.3 x 8 inches,7.7 ounces,"Star Gate 045-046  :  Die Rote Sonne: ...Und ""Die Goldenen Apfel Der Hesperiden""",Science Fiction - Space Opera,Wilfried a. Hary and W. Berner,$8.99,,138.0,Createspace Independent Publishing Platform,November 2017,,1979368961,9781979368964,8 x 5.25 x 0.3 inches,0.33 pounds
59,890,2060,STAR GATE - das Original: Die 7. Kompilation: Die Bnde 61 bis 70 der laufenden Serie STAR GATE  das Original  zusammengefasst! (STAR GATE  das Original - Kompilation) (Volume 7) (German Edition),Science Fiction : Space Opera,Wilfried A. Hary Hrsg.,$23.00,STAR GATE - das Original - Kompilation,366 pages,CreateSpace Independent Publishing Platform,"""November 7, 2017""",German,197949617X,978-1979496179,6 x 0.8 x 9 inches,1.4 pounds,Star Gate - Das Original  :  Die 4. Kompilation: Die Bande 31 Bis 40 Der Laufenden Serie Star Gate - Das Original - Zusammengefasst!,Science Fiction - Space Opera,Wilfried A. Hary,$20.99,,412.0,Createspace Independent Publishing Platform,October 2015,,1518835929,9781518835926,9 x 6 x 0.84 inches,1.21 pounds
60,494,7777,The Star Hyacinths,Science Fiction : Space Opera,James H. Schmitz,$9.99,,62 pages,Vintage Sci-Fi Classics,"""January 17, 2018""",English,1528703243,978-1528703246,5.5 x 0.2 x 8.5 inches,3.2 ounces,Novice,Thrillers - Psychological,James H. Schmitz,$9.99,,54.0,Vintage Sci-Fi Classics,January 2018,,1528703235,9781528703239,8.5 x 5.5 x 0.13 inches,0.18 pounds
61,2217,5202,Moon Burns,Fantasy : Dark,Ronnie G. Anderson,$11.95,,224 pages,CreateSpace Independent Publishing Platform,"""October 3, 2017""",English,197790520X,978-1977905208,6 x 0.5 x 9 inches,14.1 ounces,Holy Dragonslayer,Fantasy - Dark Fantasy,Ronnie G. Anderson,$26.95,,730.0,Createspace Independent Publishing Platform,November 2016,,1539953572,9781539953579,9 x 6 x 1.46 inches,2.11 pounds
